lat,lon,use_type,use_code,year_built,gross_area,story_height,number_of_stories,address,Address,Type,fire_late,fire_early,Fire_final
38.0306367,-78.47063729999998,R,Elementary Sch (Entire),1930.0,815.0,12.0,1.0,"402 11TH ST Charlottesville, VA",402 11TH ST,Commercial,0,0.0,0.0
38.063598999999996,-78.48892,C,Commercial,1963.0,1134.0,12.0,1.0,"243 ZAN RD Charlottesville, VA",243 ZAN RD,Commercial,0,0.0,0.0
38.02720745,-78.50384857498591,R,Mini-warehouse,2000.0,400.0,12.0,1.0,"117 NORTH BAKER ST Charlottesville, VA",117 NORTH BAKER ST,Commercial,0,0.0,0.0
38.03478405,-78.48804059525641,R,Mini-warehouse,2000.0,21600.0,18.0,2.0,"702 WEST ST Charlottesville, VA",702 WEST ST,Commercial,0,0.0,0.0
38.0340615,-78.4898759,R,Mini-warehouse,2000.0,22376.0,18.0,2.0,"302 8TH ST Charlottesville, VA",302 8TH ST,Commercial,0,0.0,0.0
38.040634,-78.47008829999999,R,Mini-warehouse,2000.0,400.0,12.0,1.0,"607 WATSON AVE Charlottesville, VA",607 WATSON AVE,Commercial,0,0.0,0.0
38.0406176926374,-78.47054225856479,R,Mini-warehouse,2000.0,21600.0,18.0,2.0,"623 WATSON AVE Charlottesville, VA",623 WATSON AVE,Commercial,0,0.0,0.0
38.025881,-78.4605605,R,Office Building,1977.0,1618.0,10.0,2.0,"1502 SHORT 18TH ST Charlottesville, VA",1502 SHORT 18TH ST,Commercial,0,0.0,0.0
38.0339174,-78.47250820000002,R,Commercial,2013.0,20023.0,16.0,0.0,"519 LEXINGTON AVE Charlottesville, VA",519 LEXINGTON AVE,Commercial,0,0.0,0.0
38.017324,-78.484605,R,Office Building,1988.0,18000.0,12.0,2.0,"1453 AVON ST Charlottesville, VA",1453 AVON ST,Commercial,0,0.0,0.0
38.0362217,-78.4749724,R,Office Building,1988.0,12000.0,24.0,1.0,"632 PARK ST Charlottesville, VA",632 PARK ST,Commercial,0,0.0,0.0
38.0352971,-78.4749058,R,Office Building,1988.0,49500.0,24.0,1.0,"616 PARK ST Charlottesville, VA",616 PARK ST,Commercial,0,0.0,0.0
38.03513,-78.47572,R,Office Building,1987.0,4000.0,10.0,1.0,"611 PARK ST Charlottesville, VA",611 PARK ST,Commercial,0,0.0,0.0
38.0349939,-78.4747282,R,Office Building,1987.0,4000.0,12.0,1.0,"614 PARK ST Charlottesville, VA",614 PARK ST,Commercial,0,0.0,0.0
38.0337365392136,-78.4761936627322,R,Office Building,1987.0,1165.0,10.0,1.0,"532 PARK ST Charlottesville, VA",532 PARK ST,Commercial,0,0.0,0.0
38.03425,-78.47479899999998,R,Office Building,1987.0,1422.0,11.0,1.0,"620 FARISH ST Charlottesville, VA",620 FARISH ST,Commercial,0,0.0,0.0
38.04418920000001,-78.46664709999997,R,Office Building,1987.0,1493.0,11.0,1.0,"1011 COTTONWOOD RD Charlottesville, VA",1011 COTTONWOOD RD,Commercial,0,1.0,1.0
38.0512745,-78.4945728,R,Industrial Light Manufacturing,1994.0,41088.0,12.0,2.0,"1310 BLUE RIDGE RD Charlottesville, VA",1310 BLUE RIDGE RD,Commercial,0,0.0,0.0
38.0154809,-78.5050495583517,R,Apartments 1-10 units,1920.0,,,,"402 HARRIS RD Charlottesville, VA",402 HARRIS RD,Commercial,0,0.0,0.0
38.021495,-78.51653999999998,R,Office Building,1921.0,1416.0,8.0,1.5,"2421 JEFFERSON PARK AVE Charlottesville, VA",2421 JEFFERSON PARK AVE,Commercial,0,0.0,0.0
38.021448,-78.5131045,R,Medical Office,1993.0,8860.0,10.0,2.0,"111 HAMMOND ST Charlottesville, VA",111 HAMMOND ST,Commercial,0,0.0,0.0
38.0410604,-78.47819840000003,C,Apartments over 20 units,1972.0,18024.0,12.0,3.0,"1717 ALLIED ST Charlottesville, VA",1717 ALLIED ST,Commercial,0,0.0,0.0
38.0288473,-78.47301879999998,R,Commercial,1995.0,1440.0,14.0,1.0,"210 10TH ST Charlottesville, VA",210 10TH ST,Commercial,0,0.0,0.0
38.0288473,-78.47301879999998,R,Commercial,1975.0,900.0,14.0,1.0,"210 10TH ST Charlottesville, VA",210 10TH ST,Commercial,0,0.0,0.0
38.022176400000006,-78.51516889999998,R,Apartments 1-10 units,1972.0,2876.0,12.0,2.0,"2417 JEFFERSON PARK AVE Charlottesville, VA",2417 JEFFERSON PARK AVE,Commercial,0,0.0,0.0
38.021448,-78.5131045,R,Office Building,1885.0,8561.0,12.0,3.5,"111 HAMMOND ST Charlottesville, VA",111 HAMMOND ST,Commercial,0,0.0,0.0
38.0400502,-78.48831380000001,R,Barber Shop,1961.0,625.0,12.0,1.0,"925 HENRY AVE Charlottesville, VA",925 HENRY AVE,Commercial,0,0.0,0.0
38.0400502,-78.48831380000001,R,Restaurant,1961.0,1267.0,12.0,1.0,"925 HENRY AVE Charlottesville, VA",925 HENRY AVE,Commercial,0,0.0,0.0
38.0419102,-78.5018541,R,Storage Warehouse,1987.0,16420.0,22.0,1.0,"44 UNIVERSITY CIR Charlottesville, VA",44 UNIVERSITY CIR,Commercial,0,0.0,0.0
38.0385527,-78.50021269999998,R,Office Building,0.0,31220.0,40.0,1.0,"1534 VIRGINIA AVE Charlottesville, VA",1534 VIRGINIA AVE,Commercial,0,0.0,0.0
38.0310732,-78.471598,,Office Building,1990.0,3168.0,12.0,1.0,"400 10TH ST Charlottesville, VA",400 10TH ST,Commercial,0,0.0,0.0
38.0432498333333,-78.4942101666667,R,Apartments over 20 units,2013.0,3120.0,9.0,1.0,"821 CABELL AVE Charlottesville, VA",821 CABELL AVE,Commercial,0,0.0,0.0
38.039718,-78.4845402,R,Commercial,1975.0,768.0,10.0,1.0,"802 CYNTHIANNA AVE Charlottesville, VA",802 CYNTHIANNA AVE,Commercial,0,0.0,0.0
38.039718,-78.4845402,R,Service Repair Garage,1973.0,6136.0,12.0,1.0,"802 CYNTHIANNA AVE Charlottesville, VA",802 CYNTHIANNA AVE,Commercial,0,0.0,0.0
38.0304142,-78.4872613,C,Office Building,1942.0,721.0,10.0,1.0,"416 MAIN ST Charlottesville, VA",416 MAIN ST,Commercial,0,0.0,0.0
