lat,lon,use_type,use_code,style,grade,ext_walls,roof,flooring,bsmt_type,heating,fireplace,year_built,no_of_stories,total_rooms,bedrooms,half_bathrooms,full_bathrooms,basement_garage,sq_footage_finished_living,basement,finished_basement,Address,Type,fire_late,fire_early,Fire_final
38.06430922703468,-78.48814895537491,C,Duplex,2,B,Aluminum,Shingles,Other,Full Basement,Heat Pump,1.0,1990.0,2.0,9.0,5.0,1.0,3.0,0.0,1388.0,694.0,694.0,243 ZAN RD,Residential,0,0.0,0.0
38.027192856093244,-78.50380370127368,R,Single Family,1,C,Vinyl,Shingles,Hardwood,Full Basement,Forced Air,0.0,1947.0,1.0,5.0,2.0,0.0,2.0,0.0,1020.0,1020.0,500.0,117 NORTH BAKER ST,Residential,0,0.0,0.0
38.03476952945376,-78.48797801534579,R,Single Family,1,C,Vinyl,Shingles,Hardwood,Cellar,Forced Air,0.0,1947.0,1.0,5.0,3.0,0.0,1.0,0.0,925.0,250.0,0.0,702 WEST ST,Residential,0,0.0,0.0
38.03946362952809,-78.50018252414594,R,Single Family,1.5,C,Stucco,Shingles,Hardwood,No Basement,Floor Furnace,0.0,1927.0,1.5,8.0,5.0,0.0,1.0,0.0,1491.0,,,418 17TH ST,Residential,0,0.0,0.0
-90.0,-152.64427050222758,R,Single Family-1 Conversion,1,C,Wood,Shingles,Hardwood,Full Basement,Forced Air,0.0,1954.0,1.0,7.0,3.0,0.0,2.0,0.0,878.0,878.0,439.0,402 11TH ST,Residential,0,0.0,0.0
38.03404662908383,-78.48984120626228,R,Single Family,1.5,C,Aluminum,Shingles,Hardwood,Full Basement,Forced Air,0.0,1947.0,1.5,6.0,3.0,0.0,1.0,0.0,1394.0,929.0,0.0,302 8TH ST,Residential,0,0.0,0.0
38.040609558697746,-78.4702251544431,R,Single Family-1 Conversion,1.5,C,Concrete Block,Shingles,Hardwood,Partial Basement,Forced Air,0.0,1947.0,1.5,8.0,4.0,0.0,3.0,0.0,2004.0,320.0,0.0,607 WATSON AVE,Residential,0,0.0,0.0
38.04010023008715,-78.46914573766479,R,Single Family,1,C,Vinyl,Shingles,Hardwood,Full Basement,Forced Air,0.0,1947.0,1.0,4.0,2.0,0.0,2.0,0.0,931.0,931.0,931.0,623 WATSON AVE,Residential,0,0.0,0.0
38.03386131225182,-78.47245525355491,R,Single Family-1 Conversion,1,C,Concrete Block,Shingles,Hardwood,No Basement,Gas Wall Unit,0.0,1940.0,1.0,4.0,2.0,0.0,1.0,0.0,925.0,,,519 LEXINGTON AVE,Residential,0,0.0,0.0
38.01730891605017,-78.4845200799034,R,Single Family,2,B,Wood,Metal,None,Partial Basement,Hot Water Radiator,0.0,1915.0,2.0,10.0,6.0,0.0,3.0,0.0,2854.0,713.0,,1453 AVON ST,Residential,0,0.0,0.0
38.03610145020482,-78.4750923933466,R,Duplex,1,C,Brick Veneer,Shingles,Hardwood,Partial Basement,Forced Air,0.0,1969.0,1.0,8.0,4.0,0.0,2.0,0.0,1573.0,0.0,0.0,632 PARK ST,Residential,0,0.0,0.0
38.035267904121945,-78.47509568089113,R,Duplex,1,C,Brick Veneer,Shingles,Hardwood,Partial Basement,Forced Air,0.0,1967.0,1.0,8.0,4.0,0.0,2.0,0.0,1575.0,0.0,0.0,616 PARK ST,Residential,0,0.0,0.0
38.035197123728345,-78.47591628788733,R,Single Family,1,C,Wood,Shingles,Hardwood,Partial Basement,Heat Pump,0.0,1953.0,1.0,4.0,2.0,0.0,1.0,0.0,857.0,0.0,0.0,611 PARK ST,Residential,0,0.0,0.0
38.03506918218718,-78.47495495450141,R,Single Family,1,C,Aluminum,Shingles,Hardwood,Partial Basement,Floor Furnace,0.0,1953.0,1.0,4.0,2.0,0.0,1.0,0.0,1049.0,430.0,0.0,614 PARK ST,Residential,0,0.0,0.0
38.0343365437438,-78.47548841357136,R,Single Family,1,C,Vinyl,Shingles,Hardwood,No Basement,Forced Air,0.0,1953.0,1.0,6.0,3.0,0.0,2.0,0.0,1339.0,,,532 PARK ST,Residential,0,0.0,0.0
38.044140196248534,-78.46658365511422,R,Duplex,1,C,Aluminum,Shingles,Hardwood,Partial Basement,Forced Air,0.0,1956.0,1.0,8.0,4.0,0.0,2.0,0.0,1699.0,0.0,0.0,1011 COTTONWOOD RD,Residential,0,1.0,1.0
38.034291281951745,-78.47472218463994,R,Single Family-1 Conversion,2,C,Stone,Slate,Hardwood,Cellar,Hot Water Radiator,0.0,1915.0,2.0,11.0,4.0,0.0,3.0,0.0,3072.0,496.0,,620 FARISH ST,Residential,0,0.0,0.0
38.051341907026135,-78.49472695968187,R,Single Family,2,B,Brick Veneer,Shingles,Hardwood,Full Basement,Hot Water Radiator,1.0,1939.0,2.0,8.0,3.0,2.0,2.0,0.0,2656.0,864.0,800.0,1310 BLUE RIDGE RD,Residential,0,0.0,0.0
38.02135938272875,-78.51306914962434,R,Single Family,2,B,Wood,Shingles,Hardwood,No Basement,Heat Pump,0.0,2008.0,2.0,7.0,4.0,1.0,4.0,0.0,2736.0,,,111 HAMMOND ST,Residential,0,0.0,0.0
38.02187849325829,-78.5152231754712,R,Duplex,1,C,Wood,Shingles,Hardwood,Full Basement,Forced Air,0.0,1961.0,1.0,10.0,5.0,0.0,2.0,0.0,925.0,925.0,925.0,2421 JEFFERSON PARK AVE,Residential,0,0.0,0.0
38.041028904139,-78.47815608530088,C,Duplex,2,B,Wood,Shingles,Other,Partial Basement,Hot Water Radiator,2.0,1942.0,2.0,12.0,8.0,0.0,5.0,0.0,2940.0,720.0,95.0,1717 ALLIED ST,Residential,0,0.0,0.0
38.029262156537655,-78.47286296826333,R,Single Family,1,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1.0,1962.0,1.0,6.0,3.0,1.0,1.0,0.0,1053.0,1053.0,398.0,210 10TH ST,Residential,0,0.0,0.0
38.029262156537655,-78.47286296826333,R,Single Family,1,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1.0,1960.0,1.0,6.0,3.0,0.0,1.0,0.0,993.0,993.0,497.0,210 10TH ST,Residential,0,0.0,0.0
38.02135938272875,-78.51306914962434,R,Single Family,1.5,B,Wood,Shingles,Hardwood,Full Basement,Forced Air,1.0,1896.0,1.5,8.0,3.0,0.0,2.0,0.0,1507.0,1103.0,800.0,111 HAMMOND ST,Residential,0,0.0,0.0
38.04001961045067,-78.48830283559695,R,Duplex,2,B,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,0.0,1960.0,2.0,14.0,8.0,0.0,4.0,0.0,1792.0,896.0,896.0,925 HENRY AVE,Residential,0,0.0,0.0
38.04001961045067,-78.48830283559695,R,Duplex,2,B,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,0.0,1960.0,2.0,14.0,6.0,0.0,4.0,0.0,1790.0,895.0,895.0,925 HENRY AVE,Residential,0,0.0,0.0
38.022192096983204,-78.51538218714317,R,Single Family-1 Conversion,1.5,B,Brick Veneer,Metal,Hardwood,Full Basement,Hot Water Radiator,1.0,1954.0,1.66,12.0,5.0,0.0,4.0,0.0,1937.0,1167.0,875.0,2417 JEFFERSON PARK AVE,Residential,0,0.0,0.0
38.0194524833631,-78.51411125294302,R,Single Family,1,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1.0,1962.0,1.0,8.0,4.0,0.0,2.0,0.0,1075.0,1061.0,795.0,2514 JEFFERSON PARK AVE,Residential,0,0.0,0.0
38.029262156537655,-78.47286296826333,R,Single Family-1 Conversion,1,C,Wood Shingle,Shingles,Hardwood,Partial Basement,Floor Furnace,1.0,1920.0,1.0,10.0,5.0,0.0,2.0,0.0,1812.0,482.0,,210 10TH ST,Residential,0,0.0,0.0
38.02676873008942,-78.51226302394113,R,Single Family,1,C,Stucco/Masonry,Asbestos,None,No Basement,Baseboard,1.0,1956.0,1.0,1.0,0.0,0.0,0.0,0.0,442.0,,,1910 JEFFERSON PARK AVE,Residential,0,0.0,0.0
38.017876379719965,-78.50829016804137,R,Single Family,1,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,2.0,1961.0,1.0,7.0,3.0,0.0,2.0,0.0,1178.0,1178.0,589.0,414 MOSELEY DR,Residential,0,0.0,0.0
38.02676873008942,-78.51226302394113,R,Single Family,1.5,B,Wood,Shingles,Hardwood,Cellar,Forced Air,1.0,1956.0,1.75,10.0,4.0,0.0,3.0,0.0,3303.0,360.0,,1910 JEFFERSON PARK AVE,Residential,0,0.0,0.0
38.04177273740604,-78.49517236666169,R,Single Family,1,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,2.0,1963.0,1.0,6.0,2.0,1.0,1.0,0.0,1204.0,1204.0,0.0,729 MADISON AVE,Residential,0,0.0,0.0
38.02065286881988,-78.51911518197855,R,Single Family,1,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,0.0,1965.0,1.0,6.0,3.0,1.0,1.0,0.0,1068.0,1068.0,0.0,218 HUNTLEY AVE,Residential,0,0.0,0.0
38.04203263020831,-78.49523823859279,R,Single Family,1,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,2.0,1963.0,1.0,6.0,2.0,1.0,1.0,0.0,1116.0,1148.0,100.0,753 MADISON AVE,Residential,0,0.0,0.0
38.02676873008942,-78.51226302394113,R,Single Family,1,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1.0,1964.0,1.0,7.0,3.0,1.0,1.0,0.0,1207.0,1207.0,502.0,1910 JEFFERSON PARK AVE,Residential,0,0.0,0.0
38.016365731806545,-78.5148990948019,R,Single Family,1,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1.0,1964.0,1.0,5.0,3.0,1.0,1.0,0.0,1221.0,1221.0,288.0,203 OLD LYNCHBURG RD,Residential,0,0.0,0.0
38.01692913216743,-78.5136662562507,R,Single Family,1,C,Brick Veneer,Shingles,Hardwood,Full Basement,Baseboard,0.0,1962.0,1.0,6.0,3.0,0.0,2.0,0.0,1282.0,1282.0,351.0,115 MONTE VISTA AVE,Residential,0,0.0,0.0
38.015508653059655,-78.5139612066078,R,Duplex,1,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,2.0,1964.0,1.0,6.0,2.0,0.0,1.0,0.0,1146.0,1146.0,860.0,212 MONTE VISTA AVE,Residential,0,0.0,0.0
38.06115132898203,-78.47891211594212,R,Duplex,2,C,Wood,Shingles,Hardwood,No Basement,Baseboard,0.0,1968.0,2.0,8.0,4.0,0.0,2.0,0.0,2196.0,0.0,0.0,1702 ESSEX RD,Residential,0,0.0,0.0
38.015521380325296,-78.5143620322175,R,Single Family,1,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,2.0,1962.0,1.0,8.0,4.0,1.0,2.0,0.0,1171.0,1171.0,1026.0,213 MONTE VISTA AVE,Residential,0,0.0,0.0
-90.0,-152.64427050222758,R,Duplex,2,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,4.0,1968.0,2.0,12.0,6.0,2.0,2.0,0.0,2582.0,1291.0,0.0,322 6 1/2 ST,Residential,0,0.0,0.0
38.04105403569343,-78.47223037014548,R,Single Family,1,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1.0,1960.0,1.0,7.0,3.0,0.0,1.0,0.0,999.0,999.0,400.0,517 250 BYP,Residential,0,0.0,0.0
38.03406096224832,-78.46510984722896,R,Single Family,1.5,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1.0,1959.0,1.5,5.0,3.0,0.0,2.0,0.0,1184.0,821.0,0.0,1221 HAZEL ST,Residential,0,0.0,0.0
38.038516463559425,-78.48601752435951,R,Single Family,1,C,Brick Veneer,Shingles,Hardwood,No Basement,Forced Air,1.0,1959.0,1.0,7.0,4.0,0.0,2.0,0.0,1350.0,,,808 HENRY AVE,Residential,0,1.0,1.0
38.03856916177785,-78.4825284847843,R,Single Family,1,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,2.0,1959.0,1.0,8.0,3.0,0.0,1.0,0.0,1102.0,1102.0,551.0,604 CYNTHIANNA AVE,Residential,0,0.0,0.0
38.04024733884239,-78.50968572241429,R,Single Family,1,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1.0,1966.0,1.0,6.0,3.0,1.0,1.0,0.0,1156.0,1156.0,0.0,115 ROTHERY RD,Residential,0,0.0,0.0
38.0506149535332,-78.48527610223293,R,Single Family,1,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1.0,1966.0,1.0,8.0,3.0,1.0,1.0,0.0,1196.0,1163.0,582.0,1612 GREENLEAF LN,Residential,0,0.0,0.0
38.04432827165457,-78.48013444080875,R,Single Family,1,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1.0,1967.0,1.0,8.0,3.0,1.0,2.0,0.0,1158.0,1158.0,758.0,1413 WESTWOOD RD,Residential,0,0.0,0.0
38.04404954529724,-78.4817750676601,R,Duplex,1,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1.0,1967.0,1.0,10.0,4.0,0.0,3.0,1.0,1518.0,1518.0,759.0,1430 WESTWOOD RD,Residential,0,1.0,1.0
38.049672995163,-78.48281158049558,R,Single Family,1,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,2.0,1966.0,1.0,10.0,3.0,1.0,1.0,0.0,1138.0,1163.0,540.0,1602 ROSE HILL DR,Residential,0,0.0,0.0
38.05160147557517,-78.49853156897485,C,Single Family,1,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,2.0,1967.0,1.0,8.0,3.0,1.0,2.0,0.0,1133.0,1160.0,729.0,2043 BARRACKS RD,Residential,0,0.0,0.0
38.02244640226174,-78.50430218691201,R,Single Family,1,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1.0,1966.0,1.0,7.0,3.0,1.0,1.0,0.0,1174.0,1174.0,1031.0,607 SHAMROCK RD,Residential,0,0.0,0.0
38.022478124635505,-78.50331380482285,R,Single Family,1,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,2.0,1968.0,1.0,7.0,3.0,0.0,2.0,0.0,1116.0,1116.0,800.0,1519 TRAILRIDGE RD,Residential,0,0.0,0.0
38.017421856027525,-78.48231183915213,R,Single Family,1,C,Brick Veneer,Shingles,W/W Carpet,Full Basement,Forced Air,1.0,1966.0,1.0,6.0,2.0,1.0,1.0,0.0,1296.0,1296.0,559.0,720 ROCKLAND AVE,Residential,0,0.0,0.0
38.017346749128336,-78.48138857210724,R,Single Family,1,C,Brick Veneer,Shingles,Hardwood,Partial Basement,Forced Air,2.0,1965.0,1.0,6.0,3.0,1.0,1.0,0.0,1520.0,1106.0,0.0,807 ROCKLAND AVE,Residential,0,0.0,0.0
38.0162235385051,-78.4831389364793,R,Single Family,1,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1.0,1966.0,1.0,7.0,3.0,1.0,2.0,0.0,1296.0,1278.0,669.0,119 BLINCOE LN,Residential,0,0.0,0.0
38.04188061097588,-78.50186362700514,R,Single Family,1,C,Brick Veneer,Metal,Hardwood,Full Basement,Floor Furnace,1.0,1936.0,1.0,6.0,3.0,0.0,1.0,0.0,1266.0,1266.0,0.0,44 UNIVERSITY CIR,Residential,0,0.0,0.0
38.031048312740346,-78.47166232908923,,Single Family-1 Conversion,1,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1.0,1962.0,1.0,9.0,5.0,0.0,2.0,0.0,1068.0,1068.0,700.0,400 10TH ST,Residential,0,0.0,0.0
38.04300242309561,-78.49533104963362,R,Single Family-1 Conversion,1,C,Wood,Shingles,Hardwood,Full Basement,Forced Air,0.0,1964.0,1.0,9.0,6.0,1.0,2.0,0.0,1111.0,1111.0,1055.0,821 CABELL AVE,Residential,0,0.0,0.0
38.03858193443534,-78.5002206211445,R,Single Family,1,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1.0,1961.0,1.0,6.0,4.0,0.0,2.0,0.0,1012.0,806.0,0.0,1534 VIRGINIA AVE,Residential,0,0.0,0.0
38.03972702528429,-78.48444134179715,R,Single Family,,C,Brick Veneer,Shingles,Hardwood,Full Basement,Heat Pump,2.0,1963.0,1.0,8.0,4.0,0.0,2.0,0.0,1107.0,1110.0,990.0,802 CYNTHIANNA AVE,Residential,0,0.0,0.0
38.03972702528429,-78.48444134179715,R,Single Family,1,C,Precast Panel,Shingles,Hardwood,Partial Basement,Forced Air,1.0,1961.0,1.0,6.0,3.0,1.0,2.0,1.0,1233.0,617.0,257.0,802 CYNTHIANNA AVE,Residential,0,0.0,0.0
38.023121123219646,-78.4721919783152,R,Duplex,1,C,Wood,Shingles,Hardwood,Full Basement,Forced Air,0.0,1957.0,1.0,8.0,5.0,0.0,2.0,0.0,979.0,979.0,734.0,1102 LEONARD ST,Residential,0,0.0,0.0
38.02973808552857,-78.47886581283281,C,Single Family,2,C,Wood,Shingles,None,No Basement,Gas Wall Unit,0.0,1950.0,2.0,3.0,1.0,0.0,1.0,0.0,604.0,,,416 MAIN ST,Residential,0,0.0,0.0
38.03012343558228,-78.48165879352999,,Single Family,1.5,B,Wood,Shingles,Hardwood,Partial Basement,Hot Water Radiator,1.0,1932.0,1.5,7.0,4.0,1.0,3.0,0.0,2662.0,335.0,,105 WATER ST,Residential,0,0.0,0.0
38.03089468024478,-78.48119599051849,,Single Family,1,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,0.0,1956.0,1.0,8.0,4.0,0.0,1.0,0.0,1031.0,825.0,413.0,107 MAIN ST,Residential,0,0.0,0.0
38.03091319149631,-78.5027834272173,R,Single Family-1 Conversion,1.5,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1.0,1961.0,1.5,9.0,4.0,0.0,3.0,0.0,1215.0,810.0,750.0,428 MONROE LN,Residential,0,0.0,0.0
38.03089468024478,-78.48119599051849,,Duplex,2,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,0.0,1969.0,2.0,12.0,6.0,0.0,2.0,0.0,3168.0,1584.0,0.0,107 MAIN ST,Residential,0,0.0,0.0
38.03091319149631,-78.5027834272173,R,Single Family,1.5,C,Masonite,Shingles,Hardwood,No Basement,Forced Air,1.0,1975.0,1.5,6.0,3.0,0.0,2.0,0.0,1440.0,,,428 MONROE LN,Residential,0,0.0,0.0
-90.0,-152.64427050222758,,Single Family,1,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1.0,1956.0,1.0,8.0,3.0,0.0,1.0,0.0,1009.0,1009.0,505.0,113 MAIN ST,Residential,0,0.0,0.0
-90.0,-152.64427050222758,,Single Family,1,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1.0,1957.0,1.0,5.0,3.0,0.0,1.0,0.0,992.0,992.0,0.0,113 MAIN ST,Residential,0,0.0,0.0
38.03435433120368,-78.49824083717247,R,Single Family,1,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1.0,1956.0,1.0,8.0,3.0,0.0,1.0,0.0,1002.0,1002.0,500.0,1306 WERTLAND ST,Residential,0,0.0,0.0
38.03091319149631,-78.5027834272173,R,Single Family,2,B,Vinyl,Shingles,Hardwood,No Basement,Heat Pump,1.0,2000.0,2.0,6.0,3.0,1.0,2.0,0.0,1680.0,,,428 MONROE LN,Residential,0,0.0,0.0
38.042282490029,-78.46162194827292,R,Duplex,2,B,Wood,Shingles,Hardwood,No Basement,Heat Pump,0.0,1950.0,2.0,9.0,5.0,0.0,3.0,0.0,2121.0,0.0,0.0,1033 LOCUST AVE,Residential,0,0.0,0.0
38.03091319149631,-78.5027834272173,R,Single Family,1,C,Wood,Architectural Shingles,Hardwood,No Basement,Baseboard,0.0,1920.0,1.0,6.0,2.0,0.0,1.0,0.0,1028.0,,,428 MONROE LN,Residential,0,0.0,0.0
38.033754172079966,-78.47940484491238,R,Duplex,2,B,Vinyl,Shingles,Other,No Basement,Forced Air,0.0,1980.0,2.0,12.0,6.0,2.0,2.0,0.0,2442.0,0.0,0.0,415 2ND ST,Residential,0,0.0,0.0
38.028000554582896,-78.51123083275455,R,Single Family,2,B,Stucco,Shingles,Other,Full Basement,Hot Water Radiator,1.0,1935.0,2.0,7.0,3.0,0.0,2.0,0.0,1718.0,339.0,0.0,1821 JEFFERSON PARK AVE,Residential,0,0.0,0.0
38.04749241171329,-78.48768552260344,R,Single Family,2,B,Stucco,Shingles,Hardwood,Partial Basement,Hot Water Radiator,1.0,1935.0,2.0,6.0,3.0,0.0,2.0,0.0,1630.0,671.0,0.0,1608 OXFORD RD,Residential,0,0.0,0.0
38.02651428911146,-78.46128163981741,R,Single Family-1 Conversion,1,B,Stucco,Shingles,Hardwood,Full Basement,Hot Water Radiator,1.0,1939.0,1.0,10.0,5.0,0.0,2.0,0.0,1589.0,1059.0,684.0,1413 SHORT 18TH ST,Residential,0,0.0,0.0
38.03407710275251,-78.47883967041781,R,Single Family,1.5,B,Wood,Shingles,Hardwood,Partial Basement,Forced Air,1.0,1925.0,1.5,14.0,9.0,2.0,4.0,0.0,3704.0,266.0,0.0,440 2ND ST,Residential,0,0.0,0.0
38.05686618347322,-78.50102885345852,R,Single Family,1.5,B,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1.0,1952.0,1.5,5.0,2.0,1.0,2.0,0.0,1168.0,730.0,311.0,1243 CEDARS CT,Residential,0,0.0,0.0
38.03312743885935,-78.47505335928213,R,Duplex,1,B,Brick Veneer,Shingles,Hardwood,No Basement,Floor Furnace,0.0,1965.0,1.0,10.0,4.0,0.0,2.0,0.0,1844.0,0.0,0.0,508 7TH ST,Residential,0,0.0,0.0
-90.0,-152.64427050222758,R,Duplex,1,C,Wood,Shingles,Hardwood,Full Basement,Forced Air,0.0,1961.0,1.0,9.0,5.0,0.0,2.0,0.0,1056.0,1056.0,1056.0,1518 MARKET ST,Residential,0,0.0,0.0
38.040983126653046,-78.49442002308018,R,Single Family-1 Conversion,1,C,Vinyl,Shingles,Hardwood,Full Basement,Forced Air,0.0,1961.0,1.0,8.0,4.0,0.0,3.0,0.0,924.0,924.0,924.0,762 MADISON AVE,Residential,0,0.0,0.0
